29,Hard rock,"[500,3600]","[-46.67294829999999,-23.5734145]",Jardins,Point,apartment,2020-03-11T01:26:48.235Z,"[20,150]",male,Superior,Corretor imobiliário
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-11T01:28:22.514Z,"[20,150]",,,
26,Petz,"[500,2000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-11T15:19:04.809Z,"[20,150]",female,Tecnologia em Design Gráfico,Designer
24,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-13T04:09:37.240Z,"[20,150]",male,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-13T11:24:07.370Z,"[20,150]",,,
32,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-15T11:06:52.326Z,"[20,150]",female,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-15T17:34:02.622Z,"[20,150]",,,
22,Ad,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-04-06T17:25:18.912Z,"[20,150]",male,Asd,Asd
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-20T13:53:46.534Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-24T17:22:06.834Z,"[20,150]",,,
24,,"[500,1500]","[-43.17289650000001,-22.9068467]",Rio de Janeiro,Point,apartment,2020-03-26T16:23:16.893Z,"[20,150]",male,,
25,,"[500,5000]","[-38.5269981,-3.732714399999999]",Fortaleza,Point,apartment,2020-03-30T01:08:10.296Z,"[20,150]",male,,
23,A procura,"[500,1400]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-31T03:52:25.294Z,"[20,150]",female,Aeroclub de São Paulo,Comissária
19,ZemoPay,"[500,900]","[-46.87294199999999,-23.5113691]",Barueri,Point,apartment,2020-03-31T23:36:45.606Z,"[20,150]",male,SI - UNIP,Estagiário
